PLAYERNAME,FIRSTNAME,LASTNAME,TEAM,POS,ESPNID,ESPNNAME,BATS,IDPLAYER
Drew Butera,Drew,Butera,KC,C,29436,Drew Butera,R,buterdr01
Lorenzo Cain,Lorenzo,Cain,KC,OF,29416,Lorenzo Cain,R,cainlo01
Garin Cecchini,Garin,Cecchini,KC,3B,32124,Garin Cecchini,L,cecchga01
Christian Colon,Christian,Colon,KC,2B,31116,Christian Colon,R,colonch01
Cheslor Cuthbert,Cheslor,Cuthbert,KC,3B,31682,Cheslor Cuthbert,R,cuthbch01
Hunter Dozier,Hunter,Dozier,KC,OF,,,R,doziehu01
Alcides Escobar,Alcides,Escobar,KC,SS,29229,Alcides Escobar,R,escobal02
Alex Gordon,Alex,Gordon,KC,OF,28636,Alex Gordon,L,gordoal01
Terrance Gore,Terrance,Gore,KC,DH,33632,Terrance Gore,R,gorete01
Eric Hosmer,Eric,Hosmer,KC,1B,30993,Eric Hosmer,L,hosmeer01
Whit Merrifield,Whit,Merrifield,KC,2B,32422,Whit Merrifield,R,merriwh01
Raul Mondesi,Raul,Mondesi,KC,2B,32821,Raul Mondesi,B,mondera02
Brandon Moss,Brandon,Moss,KC,OF,28844,Brandon Moss,L,mossbr01
Mike Moustakas,Mike,Moustakas,KC,3B,29999,Mike Moustakas,L,moustmi01
Peter O'Brien,Peter,O'Brien,KC,OF,33179,Peter O'Brien,R,obriepe01
Paulo Orlando,Paulo,Orlando,KC,OF,29357,Paulo Orlando,R,orlanpa01
Brayan Pena,Brayan,Pena,KC,C,6285,Brayan Pena,B,penabr01
Salvador Perez,Salvador,Perez,KC,C,31127,Salvador Perez,R,perezsa02
Jorge Soler,Jorge,Soler,KC,OF,32558,Jorge Soler,R,solerjo01
Bubba Starling,Bubba,Starling,KC,OF,32152,Bubba Starling,R,starlbu01
Dustin Ackley,Dustin,Ackley,LAA,1B,30372,Dustin Ackley,L,ackledu01
Kole Calhoun,Kole,Calhoun,LAA,OF,31413,Kole Calhoun,L,calhoko01
Ji-Man Choi,Ji-Man,Choi,LAA,OF,31779,Ji-Man Choi,L,choiji01
Kaleb Cowart,Kaleb,Cowart,LAA,3B,31648,Kaleb Cowart,B,cowarka01
C.J. Cron,C.J.,Cron,LAA,1B,32155,C.J. Cron,R,croncj01
Yunel Escobar,Yunel,Escobar,LAA,3B,28662,Yunel Escobar,R,escobyu01
Danny Espinosa,Danny,Espinosa,LAA,SS,30621,Danny Espinosa,B,espinda01
Jahmai Jones,Jahmai,Jones,LAA,OF,,,R,jonesja01
Martin Maldonado,Martin,Maldonado,LAA,C,30289,Martin Maldonado,R,maldoma01
Lou Marson,Lou,Marson,LAA,C,29241,Lou Marson,R,marsolo01
Jefry Marte,Jefry,Marte,LAA,3B,31901,Jefry Marte,R,marteje01
Cameron Maybin,Cameron,Maybin,LAA,OF,6455,Cameron Maybin,R,maybica01
Cliff Pennington,Cliff,Pennington,LAA,2B,29210,Cliff Pennington,B,pennicl01
Carlos Perez,Carlos,Perez,LAA,C,30237,Carlos Perez,R,perezca02
Albert Pujols,Albert,Pujols,LAA,1B,4574,Albert Pujols,R,pujolal01
Shane Robinson,Shane,Robinson,LAA,OF,30358,Shane Robinson,R,robinsh01
Andrelton Simmons,Andrelton,Simmons,LAA,SS,31728,Andrelton Simmons,R,simmoan01
Mike Trout,Mike,Trout,LAA,OF,30836,Mike Trout,R,troutmi01
