IDPLAYER,PLAYERNAME,FIRSTNAME,LASTNAME,TEAM,POS,ESPNID,ESPNNAME,KFFLNAME,THROWS
nolasri01,Ricky Nolasco,Ricky,Nolasco,LAA,P,6491,Ricky Nolasco,,R
nolinse01,Sean Nolin,Sean,Nolin,MIL,P,32709,Sean Nolin,,L
norrida01,Daniel Norris,Daniel,Norris,DET,P,33199,Daniel Norris,,L
novaiv01,Ivan Nova,Ivan,Nova,PIT,P,30400,Ivan Nova,,R
nunovi01,Vidal Nuno,Vidal,Nuno,BAL,P,32706,Vidal Nuno,,L
oberhbr01,Brett Oberholtzer,Brett,Oberholtzer,TOR,P,31113,Brett Oberholtzer,,L
odayda01,Darren O'Day,Darren,O'Day,BAL,P,29081,Darren O'Day,,R
odorija01,Jake Odorizzi,Jake,Odorizzi,TB,P,31654,Jake Odorizzi,,R
oflaher01,Eric O'Flaherty,Eric,O'Flaherty,ATL,P,28549,Eric O'Flaherty,,L
ogandal01,Alexi Ogando,Alexi,Ogando,ATL,P,30549,Alexi Ogando,,R
ohse01,Seung-hwan Oh,Seung-hwan,Oh,STL,P,34893,Seung Hwan Oh,,R
okertst01,Steven Okert,Steven,Okert,SF,P,33716,Steven Okert,,L
osunaro01,Roberto Osuna,Roberto,Osuna,TOR,P,32693,Roberto Osuna,,R
oteroda01,Dan Otero,Dan,Otero,CLE,P,30328,Dan Otero,,R
ottavad01,Adam Ottavino,Adam,Ottavino,COL,P,29705,Adam Ottavino,,R
owenshe02,Henry Owens,Henry,Owens,BOS,P,33211,Henry Owens,,L
parnebo01,Bobby Parnell,Bobby,Parnell,KC,P,29227,Bobby Parnell,,R
paxtoja01,James Paxton,James,Paxton,SEA,P,31980,James Paxton,,L
peacobr01,Brad Peacock,Brad,Peacock,HOU,P,31591,Brad Peacock,,R
pelfrmi01,Mike Pelfrey,Mike,Pelfrey,DET,P,28507,Mike Pelfrey,,R
peralwi01,Wily Peralta,Wily,Peralta,MIL,P,31140,Wily Peralta,,R
perdolu02,Luis Perdomo,Luis,Perdomo,SD,P,35970,Luis Perdomo,,R
perezma02,Martin Perez,Martin,Perez,TEX,P,31098,Martin Perez,,L
perezol01,Oliver Perez,Oliver,Perez,WAS,P,5192,Oliver Perez,,L
