Game_date=20170604,DFS_Salary_date=20170604,PA_minimum=1,player names are delimited by quotes
MLB_ID,ESPN_ID,Name(LF),Name(FL),Team,H/A,Bats,Active,FD_pos,DK_pos,DD_pos,YH_pos,FD_sal,DK_sal,DD_sal,YH_sal,NP,PA,AB,Hits,2B,3B,HR,Runs,RBI,BB,IBB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,MLB_ID(p),ESPN_ID(p),Pitcher_name(LF),Pitcher_name(FL),P_Team,Throws,game_time,Stadium,FD_sal,DK_sal,DD_sal,YH_sal
457705,28701,"McCutchen, Andrew","Andrew McCutchen",pit,A,R,1,7,7,7,7,,,,,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000,.700,543652,33687,"Pill, Tyler","Tyler Pill",nym,R,1:10 PM EDT,Citi Field,,,,
547912,30788,"Ngoepe, Gift"," Gift Ngoepe",pit,A,R,,,,,,,,,,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,543652,33687,"Pill, Tyler","Tyler Pill",nym,R,1:10 PM EDT,Citi Field,,,,
501896,29694,"Freese, David","David Freese",pit,A,R,1,5,5,5,5,,,,,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,.900,543652,33687,"Pill, Tyler","Tyler Pill",nym,R,1:10 PM EDT,Citi Field,,,,
570256,32950,"Polanco, Gregory","Gregory Polanco",pit,A,L,1,7,7,7,7,,,,,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,543652,33687,"Pill, Tyler","Tyler Pill",nym,R,1:10 PM EDT,Citi Field,,,,
453923,28661,"Blanco, Gregor","Gregor Blanco",ari,A,L,1,7,7,7,7,,,,,28,6,6,1,0,0,0,0,0,0,0,3,0,0,1,.167,.167,.167,.333,.150,474699,30943,"Worley, Vance","Vance Worley",mia,R,1:10 PM EDT,Marlins Park,,,,
502671,31027,"Goldschmidt, Paul","Paul Goldschmidt",ari,A,R,1,3,3,3,3,,,,,23,7,7,2,1,0,0,0,0,0,0,2,0,0,0,.286,.286,.429,.714,.307,474699,30943,"Worley, Vance","Vance Worley",mia,R,1:10 PM EDT,Marlins Park,,,,
455104,28561,"Iannetta, Chris","Chris Iannetta",ari,A,R,1,2,2,2,2,,,,,10,3,3,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000,.000,474699,30943,"Worley, Vance","Vance Worley",mia,R,1:10 PM EDT,Marlins Park,,,,
606466,32512,"Marte, Ketel"," Ketel Marte",ari,A,S,,6,6,6,6,,,,,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,474699,30943,"Worley, Vance","Vance Worley",mia,R,1:10 PM EDT,Marlins Park,,,,
518614,30475,"Descalso, Daniel","Daniel Descalso",ari,A,L,1,4,46,46,6,,,,,11,3,2,1,0,0,0,0,0,1,0,0,0,0,0,.500,.667,.500,1.167,.533,474699,30943,"Worley, Vance","Vance Worley",mia,R,1:10 PM EDT,Marlins Park,,,,
425772,5921,"Mathis, Jeff","Jeff Mathis",ari,A,R,1,2,2,2,2,,,,,8,3,3,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,474699,30943,"Worley, Vance","Vance Worley",mia,R,1:10 PM EDT,Marlins Park,,,,
444482,33384,"Peralta, David","David Peralta",ari,A,L,1,7,7,7,7,,,,,20,6,6,3,1,0,1,1,3,0,0,1,0,0,0,.500,.500,1.167,1.667,.692,474699,30943,"Worley, Vance","Vance Worley",mia,R,1:10 PM EDT,Marlins Park,,,,
571681,31280,"Fuentes, Reymond","Rey Fuentes",ari,A,L,1,7,,7,7,,,,,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,474699,30943,"Worley, Vance","Vance Worley",mia,R,1:10 PM EDT,Marlins Park,,,,
570731,31988,"Schoop, Jonathan","Jonathan Schoop",bal,H,R,1,4,45,45,4,,,,,43,11,10,2,0,0,0,1,0,1,0,3,0,0,0,.200,.273,.200,.473,.227,519242,30948,"Sale, Chris","Chris Sale",bos,L,1:35 PM EDT,Camden Yards,,,,
543376,30464,"Joseph, Caleb","Caleb Joseph",bal,H,R,1,2,2,2,2,,,,,62,14,12,2,1,0,0,0,0,1,0,5,0,0,0,.167,.231,.250,.481,.219,519242,30948,"Sale, Chris","Chris Sale",bos,L,1:35 PM EDT,Camden Yards,,,,
572073,32952,"Rickard, Joey","Joey Rickard",bal,H,R,1,,,,,,,,,33,7,6,1,0,0,0,0,0,1,0,1,0,0,0,.167,.286,.167,.452,.229,519242,30948,"Sale, Chris","Chris Sale",bos,L,1:35 PM EDT,Camden Yards,,,,
452234,28920,"Smith, Seth","Seth Smith",bal,H,L,1,7,7,7,7,,,,,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,519242,30948,"Sale, Chris","Chris Sale",bos,L,1:35 PM EDT,Camden Yards,,,,
430945,28513,"Jones, Adam","Adam Jones",bal,H,R,1,7,7,7,7,,,,,84,19,17,4,0,0,1,2,2,2,0,6,0,0,0,.235,.316,.412,.728,.321,519242,30948,"Sale, Chris","Chris Sale",bos,L,1:35 PM EDT,Camden Yards,,,,
444432,29322,"Trumbo, Mark","Mark Trumbo",bal,H,R,1,7,37,37,7,,,,,68,18,17,5,2,0,1,1,3,1,0,7,0,1,0,.294,.333,.588,.922,.389,519242,30948,"Sale, Chris","Chris Sale",bos,L,1:35 PM EDT,Camden Yards,,,,
592518,31097,"Machado, Manny","Manny Machado",bal,H,R,1,5,5,5,5,,,,,60,14,12,4,0,0,1,2,1,2,0,5,0,1,0,.333,.429,.583,1.012,.436,519242,30948,"Sale, Chris","Chris Sale",bos,L,1:35 PM EDT,Camden Yards,,,,
448801,29170,"Davis, Chris","Chris Davis",bal,H,L,1,3,37,37,3,,,,,54,13,12,1,0,0,0,0,0,1,0,3,0,0,0,.083,.154,.083,.237,.123,519242,30948,"Sale, Chris","Chris Sale",bos,L,1:35 PM EDT,Camden Yards,,,,
429666,5908,"Hardy, J.J.","J.J. Hardy",bal,H,R,1,6,6,6,6,,,,,70,16,15,4,0,0,1,1,1,1,0,3,0,0,0,.267,.312,.467,.779,.338,519242,30948,"Sale, Chris","Chris Sale",bos,L,1:35 PM EDT,Camden Yards,,,,
641820,33351,"Mancini, Trey","Trey Mancini",bal,H,R,1,,,,,,,,,15,3,3,1,1,0,0,0,1,0,0,2,0,0,0,.333,.333,.667,1.000,.417,519242,30948,"Sale, Chris","Chris Sale",bos,L,1:35 PM EDT,Camden Yards,,,,
598265,32362,"Bradley, Jackie","Jackie Bradley Jr.",bos,A,L,1,7,7,7,7,,,,,63,15,14,5,1,1,1,3,1,1,0,6,0,0,0,.357,.400,.786,1.186,.490,501957,30285,"Tillman, Chris","Chris Tillman",bal,R,1:35 PM EDT,Camden Yards,,,,
467055,29212,"Sandoval, Pablo","Pablo Sandoval",bos,A,S,1,5,5,5,5,,,,,39,10,9,3,2,0,0,1,4,1,0,0,0,0,0,.333,.400,.556,.956,.410,501957,30285,"Tillman, Chris","Chris Tillman",bal,R,1:35 PM EDT,Camden Yards,,,,
434670,6195,"Ramirez, Hanley","Hanley Ramirez",bos,A,R,1,7,7,7,,,,,,49,10,7,1,0,0,0,1,1,3,0,1,0,0,0,.143,.400,.143,.543,.300,501957,30285,"Tillman, Chris","Chris Tillman",bal,R,1:35 PM EDT,Camden Yards,,,,
519048,30452,"Moreland, Mitch","Mitch Moreland",bos,A,L,1,7,3,3,3,,,,,38,10,10,3,1,0,0,1,3,0,0,2,0,0,0,.300,.300,.400,.700,.305,501957,30285,"Tillman, Chris","Chris Tillman",bal,R,1:35 PM EDT,Camden Yards,,,,
593428,31606,"Bogaerts, Xander","Xander Bogaerts",bos,A,R,1,6,56,56,6,,,,,96,23,20,2,0,0,1,1,1,3,0,2,0,0,0,.100,.217,.250,.467,.217,501957,30285,"Tillman, Chris","Chris Tillman",bal,R,1:35 PM EDT,Camden Yards,,,,
506702,32101,"Leon, Sandy","Sandy Leon",bos,A,S,1,2,2,2,2,,,,,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,.900,501957,30285,"Tillman, Chris","Chris Tillman",bal,R,1:35 PM EDT,Camden Yards,,,,
571788,30841,"Holt, Brock"," Brock Holt",bos,A,L,,4,45,45,4,,,,,74,13,13,7,0,0,0,2,1,0,0,3,0,0,0,.538,.538,.538,1.077,.485,501957,30285,"Tillman, Chris","Chris Tillman",bal,R,1:35 PM EDT,Camden Yards,,,,
605141,33039,"Betts, Mookie","Mookie Betts",bos,A,R,1,7,7,7,7,,,,,69,14,12,3,1,0,0,2,0,2,0,3,0,0,0,.250,.357,.333,.690,.318,501957,30285,"Tillman, Chris","Chris Tillman",bal,R,1:35 PM EDT,Camden Yards,,,,
543877,31389,"Vazquez, Christian","Christian Vazquez",bos,A,R,1,2,2,2,,,,,,35,8,7,1,0,0,0,0,0,1,0,2,0,0,0,.143,.250,.143,.393,.200,501957,30285,"Tillman, Chris","Chris Tillman",bal,R,1:35 PM EDT,Camden Yards,,,,
643217,34986,"Benintendi, Andrew","Andrew Benintendi",bos,A,L,1,,,,,,,,,5,1,1,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000,.000,501957,30285,"Tillman, Chris","Chris Tillman",bal,R,1:35 PM EDT,Camden Yards,,,,
456030,6393,"Pedroia, Dustin"," Dustin Pedroia",bos,A,R,,4,4,4,4,,,,,204,50,46,13,3,0,0,4,5,3,0,4,0,1,0,.283,.320,.348,.668,.297,501957,30285,"Tillman, Chris","Chris Tillman",bal,R,1:35 PM EDT,Camden Yards,,,,
